"","mlp","xgbLinear","svmLinear","svmRadial","glmnet","C5.0","rf","AdaBoost.M1","LogitBoost","gaussprPoly","treebag","knn"
"GO:0005261",0.642438,0.8921649,0.8836511,0.9148643,0.5,0.5917833,0.8914971,0.8980467,0.8490245,0.9396308,0.8053939,0.801137
"GO:0008237",0.5417884,0.5556067,0.6609592,0.7823697,0.5,0.5,0.7241899,0.6776367,0.7246823,0.7029224,0.5438372,0.7481894
"GO:0016818",0.86851,0.8796396,0.8420966,0.7630951,0.5,0.5761748,0.9080396,0.9029411,0.8162122,0.9037133,0.7822981,0.757397
"GO:0060089",0.6957581,0.9301129,0.8621732,0.8693602,0.5,0.6616714,0.9211705,0.9090152,0.8768095,0.9223963,0.789426,0.797195
"GO:0004857",0.5783667,0.5648008,0.476665,0.5166591,0.5,0.5,0.7124003,0.5430251,0.6767307,0.6846181,0.5210288,0.5976648
"GO:0046872",0.6805284,0.8058454,0.5359015,0.6405888,0.5,0.5,0.7712123,0.6853336,0.7340304,0.8202303,0.4933281,0.522935
"GO:0097159",0.8333336,0.8576083,0.6990293,0.7036452,0.5,0.6397323,0.8850763,0.8638542,0.7738912,0.8573913,0.7625879,0.7619297
"GO:0019887",0.6824968,0.7266995,0.7450127,0.6548285,0.5,0.5,0.8710133,0.6881831,0.8237612,0.8354829,0.6477763,0.74838
"GO:0017048",0.1955209,0.7539231,0.7130877,0.7262708,0.5,0.5,0.8575921,0.803669,0.8075128,0.9210928,0.495775,0.5735229
"GO:0001664",0.5325603,0.8589581,0.9355782,0.9528272,0.5,0.5,0.9058292,0.8720616,0.899571,0.9181703,0.8736818,0.873904
