,mlp,xgbLinear,svmLinear,svmRadial,glmnet,C5.0,rf,AdaBoost.M1,LogitBoost,gaussprPoly,treebag,knn
GO:0005261,0.7101412,0.8802638,0.921464,0.8990511,0.5,0.5503048,0.8591365,0.8852893,0.7869989,0.9419953,0.7997534,0.7603743
GO:0008237,0.5428843,0.8512229,0.8312898,0.8438692,0.5,0.5,0.7789548,0.8221728,0.7211244,0.8436149,0.5454257,0.748634
GO:0016818,0.84304,0.8801551,0.9553286,0.9380467,0.5,0.6083758,0.8996431,0.8718909,0.7438079,0.9140455,0.755804,0.775462
GO:0060089,0.7825664,0.9073441,0.9096396,0.9347617,0.5,0.5573578,0.9031852,0.9265862,0.8152257,0.9324075,0.7756024,0.7616059
GO:0004857,0.5909452,0.6335119,0.6884658,0.6477411,0.5,0.5,0.6702256,0.5743946,0.5697104,0.7167658,0.5462513,0.623205
GO:0046872,0.6723754,0.7216445,0.7774415,0.8298861,0.5,0.5,0.7686603,0.5594579,0.6449483,0.8329409,0.4947892,0.5235704
GO:0097159,0.8398944,0.88746,0.8428347,0.8442252,0.5,0.6494088,0.862478,0.8984808,0.7706721,0.8691385,0.7164479,0.7168094
GO:0019887,0.7817027,0.7216011,0.8283036,0.7810673,0.5,0.5,0.7765564,0.7371983,0.7449015,0.8543519,0.597395,0.7488245
GO:0017048,0.7206164,0.7699332,0.8212517,0.8453304,0.5,0.5,0.797697,0.6387547,0.5449491,0.9358958,0.5457115,0.5739199
GO:0001664,0.6535738,0.8698381,0.969028,0.9141678,0.5,0.5,0.8967123,0.8692185,0.8231575,0.9798285,0.8237294,0.8739357
mean,0.71377398,0.81229747,0.85450473,0.84781466,0.5,0.53654472,0.82132492,0.7783444,0.71654958,0.88209846,0.66009098,0.71063411
