org,onto,model,variance,feature,PRC,ROC,min,hour
6239_CAEEL,MF,AdaBoost.M1,50,15,"0,1533","0,7213","477,65","0,133"
6239_CAEEL,MF,AdaBoost.M1,70,100,"0,1962","0,7844","2746,56","0,763"
6239_CAEEL,MF,AdaBoost.M1,90,1000,"0,1859","0,7783","10796,53","2,999"
6239_CAEEL,MF,C5.0,50,15,"0,0088","0,5202","20,39","0,006"
6239_CAEEL,MF,C5.0,70,100,"0,0472","0,5469","87,94","0,024"
6239_CAEEL,MF,C5.0,90,1000,"0,0325","0,5365","2187,06","0,608"
6239_CAEEL,MF,gaussprPoly,50,15,"0,0531","0,7995","7551,58","2,098"
6239_CAEEL,MF,gaussprPoly,70,100,"0,0899","0,8506","8106,57","2,252"
6239_CAEEL,MF,gaussprPoly,90,1000,"0,1272","0,8821","9678,75","2,689"
6239_CAEEL,MF,glmnet,50,15,"0,0026","0,5","51,95","0,014"
6239_CAEEL,MF,glmnet,70,100,"0,0026","0,5","1650,62","0,459"
6239_CAEEL,MF,glmnet,90,1000,"0,0026","0,5","572,62","0,159"
6239_CAEEL,MF,knn,50,15,"0,1292","0,6952","11,89","0,003"
6239_CAEEL,MF,knn,70,100,"0,1874","0,7182","139,37","0,039"
6239_CAEEL,MF,knn,90,1000,"0,1929","0,7106","3089,86","0,858"
6239_CAEEL,MF,lda,50,15,"0,0706","0,8061","5,2","0,001"
6239_CAEEL,MF,lda,70,100,"0,1245","0,8594","9,62","0,003"
6239_CAEEL,MF,lda,90,1000,"0,2238","0,883","357,41","0,099"
6239_CAEEL,MF,LogitBoost,50,15,"0,0794","0,7688","10,98","0,003"
6239_CAEEL,MF,LogitBoost,70,100,"0,1993","0,7982","181,14","0,05"
6239_CAEEL,MF,LogitBoost,90,1000,"0,173","0,7165","9720,61","2,7"
6239_CAEEL,MF,mlp,50,15,"0,0139","0,6594","51,58","0,014"
6239_CAEEL,MF,mlp,70,100,"0,0154","0,6251","85,89","0,024"
6239_CAEEL,MF,mlp,90,1000,"0,027","0,7138","1274,06","0,354"
6239_CAEEL,MF,rf,50,15,"0,1999","0,8036","86,47","0,024"
6239_CAEEL,MF,rf,70,100,"0,2312","0,8448","879,93","0,244"
6239_CAEEL,MF,rf,90,1000,"0,2002","0,8213","6163,72","1,712"
6239_CAEEL,MF,svmLinear,50,15,"0,0329","0,6031","19,7","0,005"
6239_CAEEL,MF,svmLinear,70,100,"0,1286","0,7354","39,32","0,011"
6239_CAEEL,MF,svmLinear,90,1000,"0,2567","0,8545","584,29","0,162"
6239_CAEEL,MF,svmRadial,50,15,"0,0737","0,7077","28,83","0,008"
6239_CAEEL,MF,svmRadial,70,100,"0,2146","0,7525","49,04","0,014"
6239_CAEEL,MF,svmRadial,90,1000,"0,2675","0,8478","785,46","0,218"
6239_CAEEL,MF,treebag,50,15,"0,1071","0,6448","40,37","0,011"
6239_CAEEL,MF,treebag,70,100,"0,1655","0,6715","336,58","0,093"
6239_CAEEL,MF,treebag,90,1000,"0,1426","0,6601","3746,49","1,041"
6239_CAEEL,MF,xgbLinear,50,15,"0,1297","0,7722","33,43","0,009"
6239_CAEEL,MF,xgbLinear,70,100,"0,1987","0,7825","31,44","0,009"
6239_CAEEL,MF,xgbLinear,90,1000,"0,1982","0,8123","142,69","0,04"
