iter,AUROC,AUPRC
1,0.8003185,0.01167239
2,0.9926798,0.185373
3,0.8439211,0.08594664
4,0.5846595,0.08269025
5,0.9326544,0.3144946
6,0.3863057,0.06392257
7,0.7511139,0.08943758
8,0.668746,0.1307488
9,0.989338,0.235584
10,0.7760662,0.04547531
1,0.8820409,0.2072947
2,0.8350883,0.268185
3,0.8687947,0.2757577
4,0.7965075,0.283706
5,0.7480987,0.2045842
6,0.8345138,0.2521436
7,0.8883819,0.3982017
8,0.8002637,0.1313595
9,0.7184977,0.1873941
10,0.769539,0.2185115
1,0.9841169,0.01923077
2,1,0
3,1,0
4,0.9974587,0.1
5,0.9968254,0.08333333
6,0.8735705,0.0025
7,1,0
8,0.9993647,0.25
9,0.9987294,0.1666667
10,0.3377778,0.0004789272
1,0.6022293,0.1128077
2,0.7349045,0.009269382
3,0.8044558,0.09652033
4,0.8259873,0.3057119
5,0.3651178,0.001859327
6,0.8146497,0.03300343
7,0.9478981,0.05301653
8,0.844303,0.07132402
9,0.9602548,0.1882919
10,0.5712285,0.0570839
1,0.7663099,0.1789398
2,0.7997507,0.2020956
3,0.8343023,0.1660349
4,0.6877135,0.1294832
5,0.7140089,0.1727248
6,0.9043788,0.2246692
7,0.7219734,0.07234625
8,0.7446244,0.2081102
9,0.8208745,0.1900815
10,0.886328,0.2776228
1,0.9284351,0.04505014
2,0.9993643,0.5138889
3,0.6568066,0.0006940162
4,0.7719856,0.07617303
5,0.9385463,0.1103562
6,0.581743,0.06307092
7,0.9173554,0.0490675
8,0.9634224,0.01656763
9,0.8027124,0.08978533
10,0.7118033,0.0951606
1,0.7615707,0.02990543
2,0.8462099,0.06623566
3,0.9446975,0.07665485
4,0.9041545,0.1456446
5,0.7629373,0.06759786
6,0.6759293,0.04501884
7,0.9242894,0.1094107
8,0.8627915,0.1517137
9,0.7882653,0.07354464
10,0.8083174,0.12957
1,0.9695044,0.01020408
2,1,0
3,0.02986023,0.0003272251
4,0.4695044,0.0005980861
5,0.9961905,0.07142857
6,0.9961881,0.07142857
7,1,0
8,0.9993647,0.25
9,1,0
10,1,0
1,0.9891926,0.02777778
2,0.9984107,0.2458333
3,0.7279085,0.01755564
4,0.6159466,0.12562
5,0.9993643,0.2083333
6,0.9990464,0.3333333
7,0.9796696,0.03320701
8,0.9059123,0.01736861
9,0.997775,0.1964286
10,0.5114358,0.0004871185
1,0.8079031,0.01914267
2,0.936051,0.2570903
3,0.8987261,0.06513111
4,0.6238854,0.1698256
5,0.6408917,0.277796
6,0.8816561,0.1584667
7,0.9415074,0.1167364
8,0.9784713,0.4029387
9,0.6719745,0.005966752
10,0.9449045,0.08141382
